TIME,IR_TEMP,K_TEMP,RAMP_TEMP,RAMP_SETPOINT
1620773573.7330415,23.5,39.8,40.103513929578995,39.599999321831596
1620773583.902023,23.4,39.8,40.05483839246962,39.599999321831596
1620773594.1707563,23.4,39.8,40.016560024685326,39.599999321831596
1620773604.3392212,23.4,39.9,39.97659471299913,39.599999321831596
1620773614.746828,23.5,39.8,39.92567274305556,39.599999321831596
1620773625.0145717,23.5,39.8,39.835149976942276,39.599999321831596
1620773635.1828039,23.4,39.8,39.84261830647787,39.599999321831596
1620773645.4512646,23.3,39.8,39.7051027086046,39.599999321831596
1620773655.619099,23.3,39.9,39.75914001464844,39.599999321831596
1620773666.0259259,23.4,40.0,39.65770721435547,39.599999321831596
1620773676.2936296,23.6,39.8,39.566989474826386,39.599999321831596
1620773686.461923,23.5,39.6,39.585469563802086,39.599999321831596
1620773696.7302945,23.6,39.8,39.581311543782554,50.0
1620773706.8986921,23.5,39.8,39.451849195692276,50.0
1620773717.305407,23.5,39.6,39.76055992974175,50.0
1620773727.5726058,23.5,39.6,40.238075256347656,50.0
1620773737.7413213,23.6,40.0,40.954712761773,50.0
1620773748.0095506,23.6,39.6,42.290403578016495,50.0
1620773758.1777108,23.5,39.6,43.79413604736328,50.0
1620773768.5841732,23.3,39.6,45.51227569580078,50.0
1620773778.851546,23.5,40.1,47.35429975721571,50.0
1620773789.019411,23.5,39.6,49.19402652316623,50.0
1620773799.2880676,23.5,40.1,50.96825493706597,50.0
1620773809.4563308,23.5,40.1,52.67322116427951,50.0
1620773819.863314,23.5,39.8,54.19177585177951,50.0
1620773830.1302853,23.5,39.9,55.66671583387587,50.0
1620773840.2996576,23.6,39.8,56.79506089952257,50.0
1620773850.567856,23.3,40.0,57.58299085828993,50.0
1620773860.7361894,23.6,39.8,57.981321546766495,50.0
1620773871.1434023,23.6,39.8,58.09115091959635,50.0
1620773881.4114418,23.5,39.8,57.81109280056423,50.0
1620773891.5795324,23.4,39.9,57.331551445855034,50.0
1620773901.849552,23.5,39.8,56.71982659233941,50.0
1620773912.0189898,23.5,39.9,56.01841396755642,50.0
