TIME,IR_TEMP,K_TEMP,RAMP_TEMP,RAMP_SETPOINT
1620884003.799979,23.4,70.0,72.72782219780815,72.7000003390842
1620884014.0709598,23.3,69.8,72.8194597032335,72.7000003390842
1620884024.2570684,23.4,69.9,72.7217525906033,72.7000003390842
1620884034.341695,23.2,70.0,72.81654357910156,72.7000003390842
1620884044.6579576,23.4,69.9,72.88642035590277,72.7000003390842
1620884054.8449388,23.3,69.8,72.68747117784288,72.7000003390842
1620884064.933372,23.2,69.9,72.81237284342448,72.7000003390842
1620884075.1237214,23.2,69.9,72.76412116156683,72.7000003390842
1620884085.2052915,23.2,69.9,72.8127204047309,72.7000003390842
1620884095.5302472,23.3,69.9,72.768308851454,72.7000003390842
1620884105.7060158,23.2,69.9,72.7411397298177,72.7000003390842
1620884115.785338,23.2,69.8,72.76859707302518,72.7000003390842
1620884125.9668555,23.2,69.9,72.77316623263889,80.0
1620884136.046306,23.2,70.0,72.77412414550781,80.0
1620884146.3646324,23.2,69.8,72.80791388617621,80.0
1620884156.5405622,23.2,69.8,72.94791327582465,80.0
1620884166.6199768,23.3,69.9,73.16800435384114,80.0
1620884176.7993646,23.3,69.9,73.53207058376736,80.0
1620884186.8786428,23.3,70.0,73.79954867892795,80.0
1620884197.1947143,23.3,69.9,74.35709635416667,80.0
1620884207.370409,23.2,70.0,74.6741231282552,80.0
1620884217.4496891,23.2,69.9,74.88448248969183,80.0
1620884227.6291294,23.4,69.8,75.429933336046,80.0
1620884237.7084405,23.3,69.9,75.69163852267795,80.0
1620884248.0244536,23.2,69.8,75.9069315592448,80.0
1620884258.200012,23.2,70.1,76.06944613986545,80.0
1620884268.2794316,23.2,70.1,76.20551215277777,80.0
1620884278.4565566,23.2,69.8,76.43857320149739,80.0
1620884288.5358367,23.2,69.9,76.5264892578125,80.0
1620884298.8518393,23.3,69.9,76.52525160047743,80.0
1620884309.0277472,23.2,70.0,76.5224117702908,80.0
1620884319.1078532,23.2,70.0,76.84574551052518,80.0
1620884329.2859814,23.2,69.9,76.94577534993489,80.0
1620884339.3660676,23.2,70.1,77.07808600531683,80.0
1620884349.682843,23.2,70.1,77.23009745279948,80.0
1620884359.8596125,23.3,70.0,77.45543585883246,80.0
1620884369.9397657,23.2,70.0,77.54250420464409,80.0
1620884380.117727,23.2,70.1,77.51313951280382,80.0
1620884390.1979916,23.2,70.2,77.74874369303386,80.0
1620884400.5148888,23.2,70.1,77.83521016438802,80.0
1620884410.6916993,23.2,70.1,77.84680684407552,80.0
1620884420.7718194,23.2,70.0,78.03038703070746,80.0
1620884430.9498057,23.2,70.1,78.04100884331596,80.0
1620884441.0323544,23.4,69.9,78.08745490180121,80.0
1620884451.3491497,23.2,70.1,78.24547661675346,80.0
1620884461.5255818,23.3,69.9,78.23842366536458,80.0
1620884471.605848,23.2,70.1,78.37823655870226,80.0
1620884481.783423,23.4,70.1,78.42620849609375,80.0
1620884491.863497,23.2,70.0,78.48320007324219,80.0
