TIME,IR_TEMP,K_TEMP,RAMP_TEMP,RAMP_SETPOINT
1620341984.6333015,23.5,73.8,79.97634887695312,80.0
1620341994.9047155,23.3,73.8,80.10041130913628,80.0
1620342005.0769453,23.3,73.9,79.9220699734158,80.0
1620342015.488289,23.4,73.8,80.07569207085503,80.0
1620342025.758637,23.4,73.9,79.91508483886719,80.0
1620342035.930886,23.5,73.8,79.92447747124565,80.0
1620342046.2021399,23.5,74.0,80.1719750298394,80.0
1620342056.3745189,23.5,73.9,80.15886942545573,80.0
1620342066.7856317,23.5,73.9,80.00312805175781,80.0
1620342077.0559568,23.4,73.9,80.22484673394096,80.0
1620342087.2288942,23.5,73.9,80.12600368923611,80.0
1620342097.4988558,23.4,73.9,79.9945068359375,80.0
1620342107.6704528,23.4,73.9,79.94217766655815,80.0
1620342118.0813272,23.2,73.9,79.99746534559462,80.0
