TIME,IR_TEMP,K_TEMP,RAMP_TEMP,RAMP_SETPOINT
1621109442.830226,23.2,50.0,50.61668819851345,50.7000011867947
1621109452.9927013,23.2,50.0,50.80396864149306,50.7000011867947
1621109463.245231,23.1,49.9,50.779779222276474,50.7000011867947
1621109473.3866785,23.2,50.0,50.75836181640625,50.7000011867947
1621109483.506296,23.1,49.9,50.599466959635414,50.7000011867947
1621109493.7611077,23.2,49.9,50.82796732584635,50.7000011867947
1621109503.9273138,23.1,50.0,50.55143568250868,50.7000011867947
1621109514.1867208,23.2,49.9,50.773158603244354,50.7000011867947
1621109524.340341,23.2,50.0,50.49572414822048,50.7000011867947
1621109534.4972868,23.1,49.9,50.77586703830295,50.7000011867947
1621109544.756685,23.1,49.9,50.494418674045136,50.7000011867947
1621109554.9012914,23.0,49.9,50.59867435031467,50.7000011867947
1621109565.127902,23.2,50.0,50.55892096625434,50.7000011867947
1621109575.2834632,23.2,50.0,50.71640438503689,50.7000011867947
1621109585.6668751,23.1,50.0,50.67423078748915,50.7000011867947
1621109595.9013124,23.2,49.9,50.83141750759548,50.7000011867947
1621109606.0368404,22.9,49.9,50.804990132649735,50.7000011867947
1621109616.2675803,23.1,49.9,50.849431355794266,50.7000011867947
1621109626.398342,23.1,49.9,50.80299377441406,50.7000011867947
1621109636.7954457,23.2,50.0,50.51704406738281,50.7000011867947
1621109647.0411003,23.1,50.0,50.79468197292751,50.7000011867947
1621109657.185559,23.0,50.0,50.78650156656901,50.7000011867947
1621109667.439373,23.0,50.0,50.555809868706596,50.7000011867947
1621109677.5974188,23.1,50.0,50.785276624891495,50.7000011867947
1621109687.93756,23.1,49.9,50.81423017713759,50.7000011867947
1621109698.1673474,23.1,49.9,50.63929239908854,50.7000011867947
1621109708.279971,23.2,50.0,50.7666269938151,50.7000011867947
1621109718.476995,23.1,50.0,50.61804453531901,50.7000011867947
1621109728.6081476,23.0,49.9,50.883848402235245,50.7000011867947
1621109738.9597645,23.1,50.0,50.75508117675781,50.7000011867947
1621109749.101863,23.0,50.0,50.76054043240017,50.7000011867947
1621109759.2440112,23.1,49.9,50.622287326388886,50.7000011867947
1621109769.4638712,23.1,49.9,50.842836168077255,50.7000011867947
1621109779.5832596,23.1,49.9,50.61850229899088,50.7000011867947
1621109789.8154588,23.2,49.9,50.67542605929904,50.7000011867947
1621109799.9746952,23.2,49.9,50.801730685763886,50.7000011867947
1621109810.1372628,23.2,49.9,50.64088609483507,50.7000011867947
1621109820.3895807,23.1,49.9,50.91005113389757,50.7000011867947
1621109830.5599873,23.1,49.9,50.76862335205078,50.7000011867947
1621109840.8243399,23.2,49.9,50.73110792371962,50.7000011867947
1621109850.9667246,23.1,50.0,50.48362308078342,50.7000011867947
1621109861.1398444,23.1,50.0,50.548650953504776,50.7000011867947
1621109871.3992727,23.1,50.0,50.65793355305989,50.7000011867947
1621109881.5641918,23.2,50.0,50.610648261176216,50.7000011867947
1621109891.831796,23.2,49.9,50.818328857421875,50.7000011867947
1621109901.9901173,23.2,49.9,50.53554958767361,50.7000011867947
1621109912.3985515,23.2,49.9,50.8264414469401,50.7000011867947
